party_id,election_date,language,source,has_eu_code,is_primary_doc,may_contradict_core_dataset,manifesto_id,md5sum_text,url_original,md5sum_original,annotations,handbook,is_copy_of,title,key
61620,196011,english,CEMP,False,True,False,61620_196011,c4c08460495ad674ccaf4f554bd042c8,,,False,,,Republican Party Platform 1960,61620_196011
61320,196411,english,CEMP,False,True,False,61320_196411,b9faa26edaecf46f98c9375ed0233a36,,,False,,,Democratic Party Platform 1964,61320_196411
61620,196411,english,CEMP,False,True,False,61620_196411,de3bb4a1318762a5f055ba4bac8c051b,,,False,,,Republican Party Platform 1964,61620_196411
61320,196811,english,CEMP,False,True,False,61320_196811,129c0250bb0ce8f638943349a19196e1,,,False,,,Democratic Party Platform 1968,61320_196811
61620,196811,english,CEMP,False,True,False,61620_196811,d9fb11f29a569ccb75b7c80eb4b80c01,,,False,,,Republican Party Platform 1968,61620_196811
61320,197211,english,CEMP,False,True,False,61320_197211,59670017fce8eeafee5c74eca0cf9135,,,False,,,Democratic Party Platform 1972,61320_197211
61620,197211,english,CEMP,False,True,False,61620_197211,b926779a88a7f5c93d2046dd0e709684,,,False,,,Republican Party Platform 1972,61620_197211
61320,197611,english,CEMP,False,True,False,61320_197611,4f729b66c583b60ba97181e80e4c368b,,,False,,,Democratic Party Platform 1976,61320_197611
61620,197611,english,CEMP,False,True,False,61620_197611,c79f7b8bcf2593076e7426bf19a7b332,,,False,,,Republican Party Platform 1976,61620_197611
61320,198011,english,CEMP,False,True,False,61320_198011,6dfb6b7f318293c1e654a1d5ad1c42e7,,,False,,,Democratic Party Platform 1980,61320_198011
61620,198011,english,CEMP,False,True,False,61620_198011,c1bb737566ee49ba24350be8dd7f5e3b,,,False,,,Republican Party Platform 1980,61620_198011
61320,198411,english,CEMP,False,True,False,61320_198411,f3240420f02f171fbd1fcc127c5e93f8,,,False,,,1984 Democratic platform,61320_198411
61620,198411,english,CEMP,False,True,False,61620_198411,9ced3e05a7f5124dd0e47178a2448d6c,,,False,,,1984 Republican platform,61620_198411
61320,198811,english,CEMP,False,True,False,61320_198811,80fea9275f0423a12d0b05d5cee1e17e,,,False,,,The 1988 Democratic national platform,61320_198811
61620,198811,english,CEMP,False,True,False,61620_198811,984a3ad5eb316e5d8db8e28e9f16686b,,,False,,,An American vision. For our children and our future,61620_198811
61320,199211,english,MARPOR,False,True,False,61320_199211,1e1529bd0d2f579335c027865dfd0d22,,,True,1,,Party statement of policies mirrors Clinton’s goals,61320_199211
61620,199211,english,CEMP,False,True,False,61620_199211,60ac4dfcc24392cb4b31a89be801f900,,,False,,,Republican Party platform 1992,61620_199211
61320,199611,english,CEMP,False,True,False,61320_199611,9f1d218669c28084183b5ed2552bcdc0,,,False,,,1996 Democratic national platform,61320_199611
61620,199611,english,CEMP,False,True,False,61620_199611,0e99c1c39851e54700959ead33c95160,,,False,,,The 1996 Republican platform,61620_199611
61320,200011,english,CEMP,False,True,False,61320_200011,bd19b331579290c90420dfb8fdf5f6c7,/down/originals/61320_2000.pdf,519e2e9267772c92942fe1cc9e0b2b04,False,,,"The 2000 Democratic National Platform: Prosperity, Progress, and Peace",61320_200011
61620,200011,english,CEMP,False,True,False,61620_200011,8025031ebd9c5506937513282d5e2c17,/down/originals/61620_2000.pdf,c5f2119aa0362c2ebcc2af87add56aba,False,,,Republican Platform 2000. Renewing America’s Purpose. Together.,61620_200011
61320,200411,english,MARPOR,False,True,False,61320_200411,dbac1cdc287924cb964fbb1e19c87762,,,True,,,"Strong at Home, Respected in the World. The Democratic Platform for America",61320_200411
61620,200411,english,MARPOR,False,True,False,61620_200411,b30865c0b93152467ec299b687965ceb,,,True,,,2004 Republican Party Platform: A Safer World and a More Hopeful America,61620_200411
61320,200811,english,MARPOR,False,True,False,61320_200811,15bbf7db05c54442d86982af53d20a4c,/down/originals/61320_2008.pdf,794eb275703dfd76cdcd0d573820b825,False,,,The 2008 Democratic National Platform. Renewing America's Promise,61320_200811
61620,200811,english,MARPOR,False,True,False,61620_200811,16eee638256eed59800ad769e4c2eece,/down/originals/61620_2008.pdf,95b1c7f7529bbcca67755f0c01f8e13b,True,,,2008 Republican Platform,61620_200811
61320,201211,english,MARPOR,False,True,False,61320_201211,f546f6c6f664436944bca1d8e5900745,/down/originals/61320_2012.pdf,d5bf1271cf2c702b51c5abac3dd2dfce,True,4,,Moving America Forward. 2012 Democratic National Platform,61320_201211
61620,201211,english,MARPOR,False,True,False,61620_201211,3477dbfd9efc09b01211208a19fcd2ad,/down/originals/61620_2012.pdf,cbf0955209e244c81a96fdc890da2ccc,True,4,,We believe in America. Republican Platform,61620_201211
61320,201611,english,MARPOR,False,True,False,61320_201611,5b03df6b0ce818a272c0fd6051862f34,/down/originals/2018-1/61320_2016.pdf,1138b986c4618e8df7127b65595937ec,True,5,,2016 Democratic Party Platform,61320_201611
61620,201611,english,MARPOR,False,True,False,61620_201611,48e70ca9fbca54ccb07f0bc64fbae3d8,/down/originals/2018-1/61620_2016.pdf,4155c1c7485b212db1b0586fca8148a7,True,5,,Republican Platform 2016,61620_201611
62320,194506,,,,,,,,,,,,,Security with victory,62320_194506
62420,194506,,,,,,,,,,,,,News release,62420_194506
62620,194506,,,,,,,,,,,,,Bracken’s charter for a better Canada,62620_194506
62951,194506,,,,,,,,,,,,,The social credit charter,62951_194506
62320,194906,,,,,,,,,,,,,Security for all,62320_194906
62420,194906,,,,,,,,,,,,,"Resolutions adopted by the Third National Liberal Convention, Ottawa, 1948",62420_194906
62620,194906,,,,,,,,,,,,,"A letter stating policy, signed by the leader of the Progressive Conservative Party",62620_194906
62951,194906,,,,,,,,,,,,,Campaign leaflet,62951_194906
62320,195308,,,,,,,,,,,,,Humanity first,62320_195308
62420,195308,,,,,,,,,,,,,Collection of campaign speeches by party leader,62420_195308
62620,195308,,,,,,,,,,,,,Campaign leaflets,62620_195308
62951,195308,,,,,,,,,,,,,Campaign speech by the leader,62951_195308
62320,195706,,,,,,,,,,,,,Winnipeg declaration of principles of the Cooperative Commonwealth Federation,62320_195706
62420,195706,,,,,,,,,,,,,Campaign speeches by the leader,62420_195706
62620,195706,,,,,,,,,,,,,A new national policy,62620_195706
62951,195706,,,,,,,,,,,,,It’s your Canada,62951_195706
62320,195803,,,,,,,,,,,,,Campaign leaflet,62320_195803
62420,195803,,,,,,,,,,,,,New statements of Liberal policy,62420_195803
62620,195803,,,,,,,,,,,,,Campaign speeches by the leader,62620_195803
62951,195803,,,,,,,,,,,,,Campaign leaflet,62951_195803
62320,196206,english,CEMP,False,True,False,62320_196206,59befaa42cc0e7f1954e4790ebd92e21,,,False,,,"The Federal Program of the New Democratic Party, adopted by its founding convention",62320_196206
62420,196206,english,CEMP,False,True,False,62420_196206,89f0ed5a99eba1dbea156f2973a5e48c,,,False,,,The Liberal programme,62420_196206
62620,196206,english,CEMP,False,True,False,62620_196206,8c0106e3be129ede965252daa5ff494e,,,False,,,Campaign speeches by the leader,62620_196206
62951,196206,english,CEMP,False,True,False,62951_196206,e05485459987c36ae778e8270cc44693,,,False,,,"A statement of social credit objectives, principles and policies",62951_196206
62320,196304,english,CEMP,False,True,False,62320_196304,36bc73801eb572a83726e529edc20607,,,False,,,Campaign leaflet,62320_196304
62420,196304,english,CEMP,False,True,False,62420_196304,e840d4a9592a29869610fab68893dae6,,,False,,,The policies of the Liberal party,62420_196304
62620,196304,english,CEMP,False,True,False,62620_196304,48d7f9e0bda3e66cd435b10dba3b3f8c,,,False,,,Campaign leaflets,62620_196304
62951,196304,english,CEMP,False,True,False,62951_196304,3fc177eb18ec8d759e8dff022d9ec75f,,,False,,,Policy statement,62951_196304
62320,196511,english,CEMP,False,True,False,62320_196511,1b5bba39a7cd964a4e15beab247dc1ee,,,False,,,Campaign leaflet,62320_196511
62420,196511,english,CEMP,False,True,False,62420_196511,eb0a045fb45c15f1c4d260cbe35549d7,,,False,,,Speakers’ notes,62420_196511
62620,196511,english,CEMP,False,True,False,62620_196511,4c837bff55a6110d2536f50d3d1d86b0,,,False,,,Policies for people,62620_196511
62951,196511,english,CEMP,False,True,False,62951_196511,237aa3bcda1c898ff0e26aa737931566,,,False,,,Social credit candidate’s party platform,62951_196511
62320,196806,english,CEMP,False,True,False,62320_196806,e7228e30bc2fa87f8ef901a58c1b7b28,,,False,,,New Democratic Party program,62320_196806
62420,196806,english,CEMP,False,True,False,62420_196806,20ce9ce8af08e9035f84fd68c77a3a83,,,False,,,Speakers’ notes,62420_196806
62620,196806,english,CEMP,False,True,False,62620_196806,ceda7e0e058b6077a9f95f726a632803,,,False,,,Progressive conservative party handbook,62620_196806
62951,196806,english,CEMP,False,True,False,62951_196806,b258b1cc72c2fd746ca5ba4cf6c14ff2,,,False,,,"A statement of social credit objectives, principles and policies",62951_196806
62320,197210,english,CEMP,False,True,False,62320_197210,4c293b5a467a0d322f990457c2092b46,,,False,,,New Democratic Party program,62320_197210
62420,197210,english,CEMP,False,True,False,62420_197210,d6228101487112f0ca9fd063a41eccb9,,,False,,,Collection of campaign leaflets,62420_197210
62620,197210,english,CEMP,False,True,False,62620_197210,88915894253b79c7aa33a727f56597dc,,,False,,,Campaign leaflets,62620_197210
62951,197210,,,,,,,,,,,,,Estimate,62951_197210
